idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1320	     81.66	1
2	    421.61	      1856	     82.21	1
3	    505.12	      2392	     93.18	1
4	    509.68	      2928	     92.53	1
5	    590.92	      3196	     91.59	1
6	    595.48	      3732	     91.39	1
7	    600.04	      4268	     91.34	1
8	    676.71	      4804	     90.67	1
9	    681.27	      5340	     90.72	1
10	    685.83	      5608	     90.63	1
11	    690.39	      6144	     90.55	1
12	    760.23	      6144	     99.23	1
13	    764.79	      6412	     97.83	1
14	    769.35	      6680	     96.60	1
15	    773.91	      7216	     95.52	1
16	    778.47	      7752	     95.21	1
17	    843.74	      8288	    102.43	1
18	    848.30	      8824	    100.63	1
19	    852.86	      9092	     99.05	1
20	    857.42	      9628	     97.67	1
21	    861.98	      9628	     96.96	1
22	    866.54	      9896	     96.46	1
23	    871.10	     10432	     96.66	1
24	    875.66	     10432	     96.70	1
25	    929.54	     10700	     95.36	1
26	    934.10	     10968	     94.82	1
27	    938.66	     11504	     94.21	1
28	    943.22	     12040	     93.81	1
29	    947.78	     12308	     93.34	1
30	    952.34	     12844	     93.04	1
31	    956.90	     13112	     93.29	1
32	    961.46	     13112	     93.50	1
33	    966.02	     13380	     93.69	1
34	    970.58	     13916	     93.85	1
35	   1015.33	     14184	     92.87	1
36	   1019.89	     14720	     92.51	1
37	   1024.45	     15256	     92.20	1
38	   1029.01	     15792	     92.05	1
39	   1033.57	     16328	     92.42	1
40	   1038.13	     16864	     92.74	1
41	   1042.69	     17400	     93.02	1
42	   1047.25	     17936	     93.27	1
43	   1051.81	     18204	     93.99	1
44	   1056.37	     18740	     94.74	1
45	   1060.93	     19276	     95.27	1
46	   1065.49	     19276	     95.74	1
47	   1070.05	     19812	     96.27	1
48	   1098.85	     20348	    100.24	1
49	   1103.40	     20884	     98.71	1
50	   1107.96	     21420	     97.37	1
51	   1112.53	     21688	     96.82	1
52	   1117.09	     21956	     96.34	1
53	   1121.64	     22492	     95.80	1
54	   1126.20	     23028	     95.95	1
55	   1130.77	     23564	     96.08	1
56	   1135.33	     24100	     96.20	1
57	   1139.88	     24636	     96.80	1
58	   1144.44	     25172	     97.45	1
59	   1149.01	     25708	     98.02	1
60	   1153.57	     26244	     99.01	1
61	   1158.12	     26780	    100.01	1
62	   1162.68	     27316	    100.76	1
63	   1167.24	     27584	    102.04	1
64	   1171.81	     27852	    103.16	1
65	   1176.37	     28388	    104.14	1
66	   1180.92	     28924	    104.87	1
67	   1185.48	     29192	    106.14	1
68	   1190.05	     28656	    104.37	1
69	   1194.61	     28924	    102.70	1
70	   1199.16	     29192	    101.86	1
71	   1203.72	     29460	    101.13	1
72	   1208.29	     29728	    100.49	1
73	   1212.85	     30264	     99.80	1
74	   1217.40	     30532	     99.83	1
75	   1221.96	     30800	     99.85	1
76	   1226.53	     31068	     99.87	1
77	   1231.09	     31604	    100.51	1
78	   1235.64	     32140	    101.07	1
79	   1240.20	     32676	    101.56	1
80	   1244.77	     33212	    102.49	1
81	   1249.33	     33748	    103.43	1
82	   1253.88	     34016	    104.13	1
83	   1258.44	     34552	    105.36	1
84	   1263.01	     35088	    106.44	1
85	   1267.57	     35088	    107.39	1
86	   1272.12	     35624	    108.84	1
87	   1276.68	     36160	    109.98	1
88	   1281.24	     36696	    111.11	1
89	   1285.81	     36964	    112.60	1
90	   1290.37	     37500	    113.90	1
91	   1294.92	     38036	    115.03	1
92	   1299.48	     38572	    116.66	1
93	   1304.05	     39108	    118.07	1
94	   1308.61	     39644	    119.31	1
95	   1313.16	     40180	    120.40	1
96	   1317.72	     40716	    121.22	1
97	   1322.29	     40984	    122.07	1
98	   1326.85	     41520	    122.69	1
99	   1331.40	     41788	    123.85	1
100	   1335.96	     42324	    124.87	1
101	   1340.53	     42860	    125.76	1
102	   1345.09	     43396	    126.67	1
103	   1349.64	     43932	    127.96	1
