idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1588	     81.66	1
2	    419.33	      1856	     92.58	1
3	    502.84	      2124	    101.88	1
4	    507.40	      2660	    100.15	1
5	    588.64	      2928	     98.38	1
6	    593.20	      3464	     97.46	1
7	    672.15	      3732	    105.90	1
8	    676.71	      4000	    103.66	1
9	    681.27	      4536	    101.70	1
10	    755.67	      5072	    109.24	1
11	    760.23	      5608	    106.59	1
12	    764.79	      6144	    104.26	1
13	    769.35	      6680	    102.23	1
14	    839.18	      7216	    109.20	1
15	    843.74	      7216	    106.55	1
16	    848.30	      7484	    104.23	1
17	    852.86	      8020	    102.70	1
18	    857.42	      8556	    101.49	1
19	    861.98	      9092	    100.30	1
20	    922.70	      9360	    106.89	1
21	    927.26	      9628	    104.53	1
22	    931.82	     10164	    102.46	1
23	    936.38	     10700	    100.66	1
24	    940.94	     11236	     99.57	1
25	    945.50	     11772	     98.75	1
26	    950.06	     12308	     98.03	1
27	    954.62	     12844	     97.90	1
28	    959.18	     13112	     97.92	1
29	   1008.49	     13648	     96.43	1
30	   1013.05	     14184	     95.12	1
31	   1017.61	     14720	     94.48	1
32	   1022.17	     14988	     94.05	1
33	   1026.73	     14988	     93.54	1
34	   1031.29	     15524	     93.72	1
35	   1035.85	     16060	     93.88	1
36	   1040.41	     16328	     94.02	1
37	   1044.97	     16864	     94.64	1
38	   1049.53	     17132	     95.19	1
39	   1054.09	     17668	     95.79	1
40	   1058.65	     18204	     96.82	1
41	   1063.21	     18472	     97.71	1
42	   1094.29	     19008	     96.25	1
43	   1098.85	     19544	     95.47	1
44	   1103.40	     19812	     94.78	1
45	   1107.96	     20348	     94.19	1
46	   1112.53	     20884	     94.29	1
47	   1117.09	     21420	     94.38	1
48	   1121.64	     21956	     94.45	1
49	   1126.20	     22492	     94.52	1
50	   1130.77	     23028	     95.08	1
51	   1135.33	     23564	     95.70	1
52	   1139.88	     24100	     96.11	1
53	   1144.44	     24636	     96.60	1
54	   1149.01	     25172	     97.65	1
55	   1153.57	     25172	     98.44	1
56	   1158.12	     25708	     99.14	1
57	   1162.68	     25976	    100.24	1
58	   1167.24	     26512	    101.34	1
59	   1171.81	     27048	    102.17	1
60	   1180.08	     27584	    100.15	1
61	   1184.64	     28120	     98.88	1
62	   1189.20	     28656	     97.89	1
63	   1193.76	     29192	     96.91	1
64	   1198.32	     29728	     96.67	1
65	   1202.88	     29996	     96.46	1
66	   1207.44	     30532	     96.28	1
67	   1212.00	     31068	     96.62	1
68	   1216.56	     31604	     96.92	1
69	   1221.12	     31872	     97.30	1
70	   1225.68	     32408	     98.14	1
71	   1230.24	     32944	     98.87	1
72	   1234.80	     33480	     99.51	1
73	   1239.36	     34016	    100.70	1
74	   1243.92	     34552	    101.61	1
75	   1248.48	     34820	    102.53	1
76	   1253.04	     35356	    103.97	1
77	   1257.60	     35624	    105.10	1
78	   1262.16	     35892	    106.08	1
79	   1266.72	     36428	    106.95	1
80	   1271.28	     36964	    108.33	1
81	   1275.84	     37500	    109.41	1
82	   1280.40	     38036	    110.49	1
83	   1284.96	     38572	    111.93	1
84	   1289.52	     38840	    113.19	1
85	   1294.08	     39376	    114.41	1
86	   1298.64	     39912	    115.98	1
87	   1303.20	     40448	    116.86	1
88	   1307.76	     40984	    117.63	1
89	   1312.32	     40984	    118.93	1
90	   1316.88	     41520	    119.94	1
91	   1321.44	     42056	    120.94	1
92	   1326.00	     42324	    122.33	1
93	   1330.56	     42860	    123.53	1
94	   1335.12	     43396	    124.72	1
95	   1339.68	     43932	    126.25	1
96	   1344.24	     44200	    127.60	1
97	   1348.80	     44736	    128.77	1
98	   1353.36	     45272	    130.43	1
99	   1357.92	     45808	    131.75	1
100	   1362.48	     46344	    132.90	1
101	   1367.04	     46880	    134.04	1
102	   1371.60	     47148	    135.53	1
103	   1376.16	     47684	    136.84	1
104	   1380.72	     48220	    137.99	1
105	   1385.28	     48488	    139.61	1
106	   1389.84	     49024	    140.91	1
107	   1394.40	     49560	    142.17	1
108	   1398.96	     50096	    143.78	1
109	   1403.52	     50632	    145.18	1
110	   1408.08	     51168	    146.41	1
111	   1412.64	     51704	    147.98	1
112	   1417.20	     52240	    149.48	1
113	   1421.76	     52776	    150.67	1
114	   1426.32	     53312	    151.84	1
115	   1430.88	     53848	    153.36	1
116	   1435.44	     54384	    154.69	1
117	   1440.00	     54920	    155.85	1
118	   1444.56	     55456	    157.50	1
119	   1449.12	     55724	    158.93	1
120	   1453.68	     56260	    160.19	1
121	   1458.24	     56796	    161.92	1
122	   1462.80	     57332	    163.30	1
123	   1467.36	     57868	    164.51	1
124	   1471.92	     58404	    166.08	1
125	   1476.48	     58940	    167.57	1
126	   1481.04	     59476	    168.87	1
127	   1485.60	     60012	    170.51	1
128	   1490.16	     60548	    172.07	1
129	   1494.72	     61084	    173.31	1
130	   1499.28	     61352	    174.52	1
131	   1503.84	     61888	    176.08	1
132	   1508.40	     62424	    177.45	1
133	   1512.96	     62960	    178.64	1
134	   1517.52	     63228	    180.31	1
135	   1522.08	     63764	    181.77	1
136	   1526.64	     64300	    182.93	1
137	   1531.20	     64836	    184.56	1
138	   1535.76	     65372	    185.99	1
139	   1540.32	     65908	    187.24	1
140	   1544.88	     66444	    188.34	1
141	   1549.44	     66980	    189.92	1
142	   1554.00	     67516	    191.18	1
143	   1558.56	     68052	    192.41	1
144	   1563.12	     68588	    194.11	1
145	   1567.68	     69124	    195.47	1
146	   1572.24	     69660	    196.66	1
147	   1576.80	     70196	    198.20	1
148	   1581.36	     70732	    199.68	1
149	   1585.92	     71268	    200.84	1
150	   1590.48	     71804	    202.49	1
151	   1595.04	     72340	    204.05	1
152	   1599.60	     72876	    205.29	1
153	   1604.16	     73412	    207.01	1
154	   1608.72	     73948	    208.51	1
155	   1613.28	     74484	    209.82	1
156	   1617.84	     75020	    211.47	1
157	   1622.40	     75556	    213.03	1
158	   1626.96	     76092	    214.28	1
159	   1631.52	     76628	    215.99	1
160	   1636.08	     77164	    217.49	1
161	   1640.64	     77432	    218.81	1
162	   1645.20	     77968	    220.58	1
163	   1649.76	     78236	    222.01	1
164	   1654.32	     78772	    223.38	1
165	   1658.88	     79308	    225.09	1
166	   1663.44	     79844	    226.57	1
167	   1668.00	     80380	    227.88	1
168	   1672.56	     80648	    229.64	1
169	   1677.12	     81184	    231.19	1
170	   1681.68	     81720	    232.54	1
171	   1686.24	     82256	    234.35	1
172	   1690.80	     82792	    235.80	1
173	   1695.36	     83328	    237.08	1
