idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1588	     81.66	1
2	    419.33	      1588	     92.58	1
3	    502.84	      2124	    101.88	1
4	    507.40	      2124	    100.15	1
5	    588.64	      2392	     98.38	1
6	    593.20	      2928	     96.83	1
7	    674.43	      3196	     95.48	1
8	    678.99	      3732	     94.79	1
9	    683.55	      3196	     94.19	1
10	    760.23	      3732	     93.17	1
11	    764.79	      4000	     92.77	1
12	    769.35	      3464	     91.93	1
13	    843.74	      4000	    100.44	1
14	    848.30	      4268	     98.88	1
15	    855.14	      4804	     97.27	1
16	    927.26	      5072	    104.86	1
17	    931.82	      5608	    102.75	1
18	    936.38	      5608	    100.91	1
19	    940.94	      5876	     99.80	1
20	   1010.77	      6412	    106.70	1
21	   1015.33	      6412	    104.36	1
22	   1019.89	      6948	    102.31	1
23	   1024.45	      7484	    100.53	1
24	   1029.01	      8020	     99.58	1
25	   1033.57	      8556	     98.76	1
26	   1096.57	      8824	     97.17	1
27	   1101.12	      9360	     95.77	1
28	   1105.68	      9896	     95.05	1
29	   1110.24	     10432	     94.54	1
30	   1114.81	     10968	     93.97	1
31	   1119.37	     11504	     94.10	1
32	   1123.92	     11772	     94.09	1
33	   1128.48	     12308	     94.20	1
34	   1180.08	     12844	    100.80	1
35	   1184.64	     13112	     99.20	1
36	   1189.20	     13380	     97.80	1
37	   1193.76	     13916	     97.08	1
38	   1198.32	     14452	     96.57	1
39	   1202.88	     14988	     96.00	1
40	   1207.44	     14720	     96.12	1
41	   1212.00	     15256	     96.23	1
42	   1216.56	     15792	     96.33	1
43	   1221.12	     16060	     96.54	1
44	   1225.68	     16596	     97.22	1
45	   1230.24	     17132	     97.82	1
46	   1265.87	     17400	     96.22	1
47	   1270.43	     17936	     95.44	1
48	   1274.99	     18472	     94.76	1
49	   1279.55	     18740	     94.16	1
50	   1284.11	     19276	     93.77	1
51	   1288.67	     19812	     93.92	1
52	   1293.23	     20348	     94.06	1
53	   1297.79	     20884	     94.67	1
54	   1302.35	     21420	     94.72	1
55	   1306.91	     21956	     95.25	1
56	   1311.47	     21956	     95.84	1
57	   1316.03	     22492	     96.36	1
58	   1320.59	     23028	     97.32	1
59	   1325.15	     23564	     98.15	1
60	   1329.71	     23832	     98.88	1
61	   1334.27	     24368	    100.15	1
62	   1349.39	     24904	    102.50	1
63	   1353.95	     25172	    100.69	1
64	   1358.51	     25708	     99.11	1
65	   1363.07	     25708	     98.34	1
66	   1367.63	     25976	     97.67	1
67	   1372.19	     26244	     97.09	1
68	   1376.75	     26780	     97.08	1
69	   1381.31	     27048	     97.07	1
70	   1385.87	     27584	     97.06	1
71	   1390.43	     28120	     97.68	1
72	   1394.99	     28656	     98.09	1
73	   1399.55	     29192	     98.58	1
74	   1404.11	     29728	     99.63	1
75	   1408.67	     30264	    100.43	1
76	   1413.23	     30800	    101.25	1
77	   1417.79	     31336	    101.84	1
78	   1422.35	     31872	    102.99	1
79	   1426.91	     32408	    103.86	1
80	   1431.47	     32944	    104.76	1
81	   1436.03	     33480	    106.16	1
82	   1440.59	     34016	    107.27	1
83	   1445.15	     34552	    108.36	1
84	   1449.71	     35088	    109.81	1
85	   1454.27	     35356	    111.09	1
86	   1458.83	     35892	    110.83	1
87	   1463.39	     36428	    110.72	1
88	   1467.95	     36696	    111.13	1
89	   1472.51	     37232	    111.49	1
90	   1477.07	     37768	    111.80	1
91	   1481.63	     38304	    112.08	1
92	   1486.19	     38304	    112.32	1
93	   1490.75	     38840	    113.03	1
94	   1495.31	     39376	    113.78	1
95	   1499.87	     39912	    114.30	1
96	   1504.43	     40448	    115.39	1
97	   1508.99	     40984	    116.34	1
98	   1513.55	     41520	    117.17	1
99	   1518.11	     42056	    118.53	1
100	   1522.67	     42592	    119.71	1
101	   1527.23	     43128	    120.75	1
102	   1531.79	     43664	    122.15	1
103	   1536.35	     44200	    123.38	1
104	   1540.91	     44736	    124.46	1
105	   1545.47	     45272	    126.03	1
106	   1550.03	     45540	    127.40	1
107	   1554.59	     46076	    128.60	1
108	   1559.15	     46612	    130.28	1
109	   1563.71	     47148	    131.62	1
110	   1568.27	     47684	    132.91	1
111	   1572.83	     48220	    134.55	1
112	   1577.39	     48756	    135.98	1
113	   1581.95	     49292	    137.11	1
114	   1586.51	     49828	    138.72	1
115	   1591.07	     50364	    140.25	1
116	   1595.63	     50900	    141.47	1
117	   1600.19	     51436	    143.16	1
118	   1604.75	     51972	    144.64	1
119	   1609.31	     52508	    145.94	1
120	   1613.87	     52776	    147.57	1
121	   1618.43	     53044	    149.12	1
122	   1622.99	     53580	    150.36	1
123	   1627.55	     54116	    152.06	1
124	   1632.11	     54652	    153.68	1
125	   1636.67	     55188	    154.97	1
126	   1641.23	     55724	    156.72	1
127	   1645.79	     56260	    158.13	1
128	   1650.35	     56796	    159.49	1
129	   1654.91	     57332	    160.56	1
130	   1659.47	     57868	    162.11	1
131	   1664.03	     58404	    163.60	1
132	   1668.59	     58940	    164.77	1
133	   1673.15	     59476	    166.43	1
134	   1677.71	     59744	    167.87	1
135	   1682.27	     60280	    169.14	1
136	   1686.83	     60816	    170.75	1
137	   1691.39	     61352	    172.28	1
138	   1695.95	     61888	    173.49	1
139	   1700.51	     62424	    175.18	1
140	   1705.07	     62960	    176.66	1
141	   1709.63	     63496	    177.95	1
142	   1714.19	     63764	    179.71	1
143	   1718.75	     64300	    181.12	1
144	   1723.31	     64836	    182.48	1
145	   1727.87	     65372	    184.17	1
146	   1732.43	     65908	    185.65	1
147	   1736.99	     66444	    186.94	1
148	   1741.55	     66980	    188.70	1
149	   1746.11	     67516	    190.24	1
150	   1750.67	     68052	    191.46	1
151	   1755.23	     68588	    193.15	1
152	   1759.79	     69124	    194.63	1
153	   1764.35	     69660	    195.93	1
154	   1768.91	     70196	    197.56	1
155	   1773.47	     70732	    199.12	1
156	   1778.03	     71000	    200.48	1
157	   1782.59	     71536	    202.17	1
158	   1787.15	     72072	    203.77	1
159	   1791.71	     72608	    205.05	1
160	   1796.27	     73144	    206.79	1
161	   1800.83	     73680	    208.32	1
162	   1805.39	     74216	    209.65	1
163	   1809.95	     74752	    211.32	1
164	   1814.51	     75288	    212.78	1
165	   1819.07	     75824	    214.18	1
166	   1823.63	     76360	    215.91	1
167	   1828.19	     76896	    217.42	1
168	   1832.75	     77432	    218.74	1
169	   1837.31	     77968	    220.53	1
170	   1841.87	     78504	    221.96	1
171	   1846.43	     79040	    223.34	1
172	   1850.99	     79576	    224.42	1
