idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    447.74	       784	    105.81	1
1	    533.53	      1320	    103.33	1
2	    817.05	       784	    125.92	1
3	    902.84	      1320	    120.80	1
4	   1186.36	       784	    141.20	1
5	   1272.15	      1320	    134.30	1
6	   1357.95	      1856	    128.14	1
7	   1441.46	      1856	    133.25	1
8	   1524.98	      2392	    137.47	1
9	   1529.54	      2660	    131.28	1
10	   1610.77	      3196	    125.62	1
11	   1615.33	      3732	    121.30	1
12	   1619.89	      4268	    117.38	1
13	   1696.57	      4804	    113.46	1
14	   1701.12	      4804	    110.65	1
15	   1705.68	      5072	    108.07	1
16	   1710.24	      5608	    105.94	1
17	   1780.08	      5608	    112.82	1
18	   1784.64	      6144	    109.72	1
19	   1789.20	      6680	    107.00	1
20	   1793.76	      6680	    104.63	1
21	   1798.32	      7216	    102.55	1
22	   1865.87	      6680	    100.36	1
23	   1870.43	      7216	     99.06	1
24	   1874.99	      7752	     97.93	1
25	   1879.55	      8288	     96.94	1
26	   1884.11	      8824	     96.19	1
27	   1888.67	      9360	     96.05	1
28	   1951.67	      9896	     94.79	1
29	   1956.23	      9360	     94.32	1
30	   1960.79	      9896	     93.78	1
31	   1965.35	     10432	     93.93	1
32	   1969.91	     10968	     94.06	1
33	   1974.47	     11236	     94.18	1
34	   1979.03	     11772	     94.91	1
35	   1983.59	     12308	     95.42	1
36	   1988.15	     12844	     95.99	1
37	   2035.18	     13380	    102.37	1
38	   2042.02	     13916	    100.32	1
39	   2046.58	     14184	     99.03	1
40	   2051.14	     14720	     98.03	1
41	   2055.70	     15256	     97.02	1
42	   2060.26	     15792	     96.77	1
43	   2064.82	     16328	     96.55	1
44	   2069.38	     16596	     96.36	1
45	   2073.94	     17132	     96.06	1
46	   2078.50	     17668	     96.43	1
47	   2083.06	     17936	     96.88	1
48	   2087.62	     18472	     97.14	1
49	   2118.70	     19008	    101.25	1
50	   2123.26	     19276	     99.59	1
51	   2127.82	     19812	     97.77	1
52	   2132.38	     20348	     96.80	1
53	   2136.94	     19812	     95.95	1
54	   2141.50	     20348	     95.20	1
55	   2146.06	     19812	     95.18	1
56	   2150.62	     19544	     95.16	1
57	   2155.18	     19008	     95.14	1
58	   2159.74	     19544	     95.62	1
59	   2164.30	     19544	     96.17	1
60	   2168.86	     20080	     96.52	1
61	   2173.42	     19544	     97.46	1
62	   2177.98	     19544	     98.27	1
63	   2182.54	     20080	     98.99	1
64	   2187.10	     19812	     99.62	1
65	   2191.66	     20348	    100.66	1
66	   2196.22	     20080	    101.71	1
67	   2204.49	     19544	     99.74	1
68	   2209.05	     20080	     98.65	1
69	   2213.61	     20616	     97.57	1
70	   2218.17	     20080	     96.75	1
71	   2222.73	     20616	     96.53	1
72	   2227.29	     20348	     95.84	1
73	   2231.85	     20884	     95.73	1
74	   2236.41	     20884	     95.02	1
75	   2240.97	     21420	     93.76	1
76	   2245.53	     21956	     93.29	1
77	   2250.09	     22224	     93.01	1
78	   2254.65	     22224	     92.63	1
79	   2259.21	     22760	     92.43	1
80	   2263.77	     23296	     92.12	1
81	   2268.33	     23296	     91.98	1
82	   2272.89	     23832	     91.73	1
83	   2277.45	     24100	     91.52	1
84	   2282.01	     24636	     91.95	1
85	   2288.01	     24904	     91.96	1
86	   2292.57	     24636	     91.46	1
87	   2297.13	     25172	     91.03	1
88	   2301.69	     25708	     91.15	1
89	   2306.25	     25708	     90.76	1
90	   2310.81	     25708	     90.91	1
91	   2315.37	     26244	     91.17	1
