idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1588	     81.66	1
2	    419.33	      1052	     92.58	1
3	    505.12	      1588	     91.76	1
4	    588.64	      1588	    101.41	1
5	    672.15	      2124	    109.61	1
6	    676.71	      2124	    106.91	1
7	    757.95	      2392	    104.17	1
8	    762.51	      2660	    101.90	1
9	    843.74	      2928	     99.91	1
10	    848.30	      3464	     98.80	1
11	    927.26	      3464	    107.07	1
12	    931.82	      4000	    104.69	1
13	    936.38	      3464	    102.60	1
14	   1013.05	      3196	    100.53	1
15	   1017.61	      3732	     99.21	1
16	   1022.17	      4000	     97.56	1
17	   1098.85	      4268	     95.99	1
18	   1103.40	      4536	     95.24	1
19	   1107.96	      4536	     94.59	1
20	   1112.53	      4804	     94.01	1
21	   1184.64	      4804	     93.01	1
22	   1189.20	      5340	     92.14	1
23	   1193.76	      5876	     91.37	1
24	   1198.32	      6412	     91.32	1
25	   1268.15	      6948	     99.41	1
26	   1272.71	      7484	     97.98	1
27	   1277.27	      8020	     96.73	1
28	   1281.83	      7484	     96.14	1
29	   1286.39	      7216	     95.75	1
30	   1290.95	      7216	     95.28	1
31	   1351.67	      7216	    102.50	1
32	   1356.23	      7752	    100.68	1
33	   1360.79	      8288	     99.10	1
34	   1365.35	      7752	     98.33	1
35	   1369.91	      7484	     97.04	1
36	   1374.47	      8020	     95.91	1
37	   1435.18	      8020	    102.05	1
38	   1439.74	      8556	    100.29	1
39	   1444.30	      9092	     99.38	1
40	   1448.86	      9360	     98.46	1
41	   1453.42	      9896	     97.78	1
42	   1457.98	      9896	     96.55	1
43	   1462.54	     10164	     96.11	1
44	   1518.70	     10700	    102.10	1
45	   1523.26	     10432	    100.33	1
46	   1527.82	     10700	     98.79	1
47	   1532.38	     11236	     98.07	1
48	   1536.94	     10700	     97.31	1
49	   1541.50	     11236	     96.77	1
50	   1546.06	     11504	     96.92	1
51	   1550.62	     12040	     96.93	1
52	   1555.18	     12308	     97.07	1
53	   1559.74	     12576	     97.06	1
54	   1604.49	     13112	     95.68	1
55	   1609.05	     13380	     94.47	1
56	   1613.61	     13916	     93.41	1
57	   1618.17	     14452	     93.11	1
58	   1622.73	     14988	     92.22	1
59	   1627.29	     15524	     92.07	1
60	   1631.85	     16060	     91.81	1
61	   1636.41	     16596	     91.58	1
62	   1640.97	     17132	     91.88	1
63	   1645.53	     17400	     92.27	1
64	   1650.09	     17936	     92.61	1
65	   1654.65	     18204	     92.91	1
66	   1688.01	     18740	     97.42	1
67	   1692.57	     19276	     96.25	1
68	   1697.13	     19812	     95.22	1
69	   1701.69	     20348	     94.31	1
70	   1706.25	     20884	     94.15	1
71	   1710.81	     21152	     93.88	1
72	   1715.37	     21688	     94.27	1
73	   1719.93	     22224	     94.61	1
74	   1724.49	     22492	     94.91	1
75	   1729.05	     22760	     95.80	1
76	   1733.61	     22760	     96.57	1
77	   1738.17	     23028	     97.25	1
78	   1742.73	     23564	     98.34	1
79	   1747.29	     24100	     99.43	1
80	   1751.85	     24636	    100.25	1
81	   1756.41	     24904	    100.97	1
82	   1760.97	     25440	    102.09	1
83	   1765.53	     25976	    103.21	1
84	   1773.80	     26244	    100.93	1
85	   1778.36	     26512	     99.57	1
86	   1782.92	     26780	     98.37	1
87	   1787.48	     27048	     97.32	1
88	   1792.04	     27584	     97.03	1
89	   1796.60	     28120	     96.78	1
90	   1801.16	     28388	     96.56	1
91	   1805.72	     28924	     96.36	1
92	   1810.28	     29460	     96.82	1
93	   1814.84	     29996	     97.09	1
94	   1819.40	     30532	     97.95	1
95	   1823.96	     31068	     98.71	1
96	   1828.52	     31336	     99.37	1
97	   1833.08	     31336	     99.95	1
98	   1837.64	     31604	    100.45	1
99	   1842.20	     31872	    100.90	1
100	   1846.76	     32408	    101.79	1
101	   1851.32	     32944	    102.69	1
102	   1855.88	     33480	    103.35	1
103	   1860.44	     33748	    104.56	1
104	   1865.00	     34284	    105.74	1
105	   1869.56	     34284	    106.65	1
106	   1874.12	     34820	    108.06	1
107	   1878.68	     35356	    109.31	1
108	   1883.24	     35624	    110.39	1
109	   1887.80	     36160	    110.84	1
110	   1892.36	     36160	    111.86	1
111	   1896.92	     36696	    112.63	1
112	   1901.48	     37232	    113.43	1
113	   1906.04	     37768	    114.12	1
114	   1910.60	     38304	    115.23	1
115	   1915.16	     38840	    116.20	1
116	   1919.72	     39108	    117.05	1
117	   1924.28	     39644	    118.42	1
118	   1928.84	     40180	    119.49	1
119	   1933.40	     40448	    120.56	1
120	   1937.96	     40984	    121.99	1
121	   1942.52	     41252	    123.24	1
122	   1947.08	     41520	    124.46	1
123	   1951.64	     42056	    126.03	1
124	   1956.20	     42592	    127.40	1
125	   1960.76	     43128	    128.60	1
126	   1965.32	     43664	    129.65	1
127	   1969.88	     44200	    130.44	1
128	   1974.44	     44200	    131.76	1
129	   1979.00	     44736	    133.04	1
130	   1983.56	     45272	    134.04	1
131	   1988.12	     45808	    135.03	1
132	   1992.68	     46344	    136.40	1
133	   1997.24	     46880	    137.60	1
134	   2001.80	     47416	    138.65	1
135	   2006.36	     47952	    140.19	1
136	   2010.92	     48488	    141.42	1
137	   2015.48	     49024	    142.49	1
138	   2020.04	     49560	    143.56	1
139	   2024.60	     49828	    144.99	1
140	   2029.16	     50364	    146.24	1
141	   2033.72	     50900	    147.33	1
142	   2038.28	     51436	    148.92	1
143	   2042.84	     51704	    150.18	1
144	   2047.40	     52240	    151.41	1
145	   2051.96	     52776	    152.35	1
146	   2056.52	     53044	    153.81	1
147	   2061.08	     53312	    155.21	1
148	   2065.64	     53580	    156.31	1
149	   2070.20	     54116	    157.89	1
150	   2074.76	     54652	    159.16	1
151	   2079.32	     54920	    160.39	1
152	   2083.88	     55188	    161.96	1
153	   2088.44	     55724	    163.34	1
154	   2093.00	     56260	    164.68	1
155	   2097.56	     56796	    165.72	1
156	   2102.12	     57332	    167.25	1
157	   2106.68	     57868	    168.59	1
158	   2111.24	     58404	    169.77	1
159	   2115.80	     58940	    171.30	1
160	   2120.36	     59476	    172.76	1
161	   2124.92	     60012	    173.92	1
162	   2129.48	     60548	    174.93	1
163	   2134.04	     61084	    176.44	1
164	   2138.60	     61620	    177.76	1
165	   2143.16	     62156	    178.91	1
166	   2147.72	     62692	    180.42	1
167	   2152.28	     63228	    181.87	1
168	   2156.84	     63764	    183.01	1
169	   2161.40	     64300	    184.63	1
170	   2165.96	     64836	    186.06	1
171	   2170.52	     65372	    187.30	1
172	   2175.08	     65908	    188.39	1
