idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    447.74	       784	    105.81	1
1	    533.53	      1052	    103.33	1
2	    619.33	      1588	    101.17	1
3	    702.84	      2124	    109.65	1
4	    707.40	      2392	    106.94	1
5	    788.64	      2392	    104.32	1
6	    793.20	      2928	    102.03	1
7	    874.43	      3464	    100.03	1
8	    878.99	      2928	     98.78	1
9	    883.55	      3196	     97.68	1
10	    962.51	      3732	     96.47	1
11	    967.07	      3732	     95.53	1
12	    971.63	      4268	     94.59	1
13	   1046.02	      4536	    103.14	1
14	   1050.58	      5072	    101.25	1
15	   1055.14	      5340	     99.59	1
16	   1059.70	      5876	     98.14	1
17	   1131.82	      5876	     96.50	1
18	   1136.38	      6412	     95.69	1
19	   1140.94	      6680	     94.98	1
20	   1145.50	      6948	     94.36	1
21	   1150.06	      7484	     94.44	1
22	   1215.33	      8020	    102.13	1
23	   1219.89	      8288	    100.36	1
24	   1224.45	      8556	     98.82	1
25	   1229.01	      8824	     97.59	1
26	   1233.57	      8824	     97.02	1
27	   1238.13	      9092	     96.52	1
28	   1242.69	      9092	     95.95	1
29	   1298.85	      9628	    102.46	1
30	   1303.40	      9896	    100.65	1
31	   1307.96	     10164	     99.07	1
32	   1312.53	     10164	     97.69	1
33	   1317.09	     10164	     97.10	1
34	   1321.64	     10700	     96.46	1
35	   1326.20	     11236	     96.03	1
36	   1330.77	     11504	     95.53	1
37	   1335.33	     11504	     95.21	1
38	   1384.64	     12040	     94.06	1
39	   1389.20	     12576	     93.68	1
40	   1393.76	     12576	     93.22	1
41	   1398.32	     13112	     92.94	1
42	   1402.88	     13648	     92.57	1
43	   1407.44	     14184	     92.25	1
44	   1412.00	     14720	     91.97	1
45	   1416.56	     15256	     92.35	1
46	   1421.12	     15792	     92.68	1
47	   1425.68	     16328	     92.97	1
48	   1430.24	     16864	     93.22	1
49	   1468.15	     16864	     98.19	1
50	   1472.71	     17400	     96.92	1
51	   1477.27	     17400	     95.81	1
52	   1481.83	     17936	     94.83	1
53	   1486.39	     18472	     94.60	1
54	   1490.95	     18472	     94.28	1
55	   1495.51	     18472	     94.12	1
56	   1500.07	     19008	     94.60	1
57	   1504.63	     19544	     94.90	1
58	   1509.19	     19812	     95.29	1
59	   1513.75	     20080	     96.13	1
60	   1518.31	     20616	     96.86	1
61	   1522.87	     20616	     97.38	1
62	   1527.43	     21152	     98.46	1
63	   1531.99	     21688	     99.40	1
64	   1536.55	     22224	    100.22	1
65	   1553.95	     22760	     98.32	1
66	   1558.51	     23296	     97.28	1
67	   1563.07	     23832	     96.50	1
68	   1567.63	     24100	     95.68	1
69	   1572.19	     24636	     95.10	1
70	   1576.75	     25172	     95.09	1
71	   1581.31	     25708	     95.08	1
72	   1585.87	     26244	     95.07	1
73	   1590.43	     26512	     95.06	1
74	   1594.99	     26512	     94.92	1
75	   1599.55	     26780	     95.43	1
76	   1604.11	     27316	     96.00	1
77	   1608.67	     27852	     96.38	1
78	   1613.23	     28388	     96.83	1
79	   1617.79	     28924	     97.73	1
80	   1622.35	     29460	     98.51	1
81	   1626.91	     29996	     99.20	1
82	   1631.47	     30532	     99.80	1
83	   1636.03	     31068	    100.95	1
84	   1640.59	     31604	    101.95	1
85	   1645.15	     32140	    103.46	1
86	   1649.71	     32408	    104.65	1
87	   1654.27	     32944	    104.20	1
88	   1658.83	     33480	    104.30	1
89	   1663.39	     34016	    104.38	1
90	   1667.95	     34284	    104.34	1
91	   1672.51	     33748	    104.42	1
92	   1677.07	     33480	    105.12	1
93	   1681.63	     33748	    105.60	1
94	   1686.19	     34016	    106.15	1
95	   1690.75	     34552	    107.13	1
96	   1695.31	     34552	    107.99	1
97	   1699.87	     35088	    108.74	1
98	   1704.43	     35356	    110.02	1
99	   1708.99	     35892	    111.02	1
100	   1713.55	     36160	    112.02	1
101	   1718.11	     36696	    112.89	1
102	   1722.67	     37232	    113.53	1
103	   1727.23	     37768	    114.71	1
104	   1731.79	     38304	    115.75	1
105	   1736.35	     38840	    117.28	1
106	   1740.91	     39376	    118.50	1
107	   1745.47	     39912	    119.68	1
108	   1750.03	     40448	    121.35	1
109	   1754.59	     40984	    122.68	1
110	   1759.15	     41520	    123.97	1
111	   1763.71	     42056	    125.60	1
112	   1768.27	     42592	    127.02	1
113	   1772.83	     43128	    128.15	1
114	   1777.39	     43664	    129.75	1
115	   1781.95	     43932	    131.16	1
116	   1786.51	     44468	    132.39	1
117	   1791.07	     45004	    133.59	1
118	   1795.63	     45540	    135.14	1
119	   1800.19	     45808	    136.50	1
120	   1804.75	     46344	    137.69	1
121	   1809.31	     46612	    139.35	1
122	   1813.87	     47148	    140.68	1
123	   1818.43	     47684	    141.97	1
124	   1822.99	     48220	    142.35	1
125	   1827.55	     48756	    143.31	1
126	   1832.11	     49292	    144.27	1
127	   1836.67	     49560	    144.98	1
128	   1841.23	     50096	    145.74	1
129	   1845.79	     50632	    146.27	1
130	   1850.35	     50900	    147.36	1
131	   1854.91	     51436	    148.31	1
132	   1859.47	     51972	    149.15	1
133	   1864.03	     52240	    150.51	1
134	   1868.59	     52776	    151.69	1
135	   1873.15	     53312	    152.73	1
136	   1877.71	     53848	    154.14	1
137	   1882.27	     54384	    155.37	1
138	   1886.83	     54920	    156.45	1
139	   1891.39	     55456	    158.02	1
140	   1895.95	     55992	    159.27	1
141	   1900.51	     56528	    160.48	1
142	   1905.07	     56796	    162.17	1
143	   1909.63	     57064	    163.53	1
144	   1914.19	     57600	    164.84	1
145	   1918.75	     58136	    166.48	1
146	   1923.31	     58404	    167.92	1
147	   1927.87	     58672	    169.06	1
148	   1932.43	     59208	    170.67	1
149	   1936.99	     59476	    172.09	1
150	   1941.55	     59744	    173.33	1
151	   1946.11	     60280	    175.04	1
152	   1950.67	     60816	    176.53	1
153	   1955.23	     61352	    177.84	1
154	   1959.79	     61620	    179.49	1
155	   1964.35	     62156	    181.05	1
156	   1968.91	     62692	    182.29	1
157	   1973.47	     63228	    184.01	1
158	   1978.03	     63764	    185.63	1
159	   1982.59	     64032	    186.93	1
160	   1987.15	     64568	    188.69	1
161	   1991.71	     65104	    190.10	1
162	   1996.27	     65640	    191.46	1
163	   2000.83	     66176	    192.53	1
164	   2005.39	     66712	    194.09	1
165	   2009.95	     67248	    195.45	1
166	   2014.51	     67784	    196.65	1
167	   2019.07	     68320	    198.31	1
168	   2023.63	     68856	    199.78	1
169	   2028.19	     69392	    201.05	1
170	   2032.75	     69928	    202.67	1
171	   2037.31	     70196	    204.21	1
172	   2041.87	     70732	    205.44	1
173	   2046.43	     71268	    207.13	1
174	   2050.99	     71804	    208.49	1
175	   2055.55	     72340	    209.80	1
176	   2060.11	     72876	    211.58	1
177	   2064.67	     73412	    213.01	1
178	   2069.23	     73948	    214.38	1
179	   2073.79	     74484	    215.46	1
180	   2078.35	     75020	    217.03	1
181	   2082.91	     75288	    218.40	1
182	   2087.47	     75556	    219.60	1
183	   2092.03	     75824	    221.27	1
184	   2096.59	     76360	    222.61	1
185	   2101.15	     76896	    223.91	1
186	   2105.71	     77432	    225.55	1
187	   2110.27	     77968	    226.98	1
188	   2114.83	     78504	    228.23	1
189	   2119.39	     79040	    229.95	1
190	   2123.95	     79576	    231.33	1
191	   2128.51	     80112	    232.67	1
192	   2133.07	     80648	    234.46	1
193	   2137.63	     81184	    235.90	1
194	   2142.19	     81720	    237.29	1
195	   2146.75	     82256	    239.00	1
196	   2151.31	     82524	    240.50	1
197	   2155.87	     82792	    241.69	1
198	   2160.43	     83328	    242.85	1
199	   2164.99	     83864	    244.37	1
200	   2169.55	     84400	    245.70	1
201	   2174.11	     84936	    246.99	1
202	   2178.67	     85204	    248.61	1
203	   2183.23	     85740	    250.04	1
204	   2187.79	     86276	    251.28	1
205	   2192.35	     86812	    252.37	1
206	   2196.91	     87348	    253.82	1
207	   2201.47	     87884	    255.22	1
208	   2206.03	     88420	    256.44	1
209	   2210.59	     88956	    257.39	1
210	   2215.15	     89492	    258.84	1
211	   2219.71	     90028	    260.11	1
212	   2224.27	     90564	    261.22	1
213	   2228.83	     91100	    262.69	1
214	   2233.39	     91636	    264.11	1
215	   2237.95	     92172	    265.22	1
216	   2242.51	     92708	    266.82	1
217	   2247.07	     93244	    268.34	1
218	   2251.63	     93780	    269.55	1
219	   2256.19	     94316	    271.23	1
220	   2260.75	     94852	    272.57	1
221	   2265.31	     95120	    273.88	1
222	   2269.87	     95656	    275.52	1
223	   2274.43	     96192	    276.95	1
224	   2278.99	     96728	    278.21	1
225	   2283.55	     97264	    279.93	1
226	   2288.11	     97532	    281.44	1
227	   2292.67	     98068	    282.76	1
228	   2297.23	     98604	    284.54	1
229	   2301.79	     99140	    285.97	1
230	   2306.35	     99676	    287.35	1
231	   2310.91	     99944	    289.06	1
232	   2315.47	    100480	    290.55	1
233	   2320.03	    101016	    291.86	1
234	   2324.59	    101552	    293.50	1
235	   2329.15	    102088	    295.06	1
236	   2333.71	    102624	    296.30	1
237	   2338.27	    103160	    298.02	1
238	   2342.83	    103696	    299.51	1
239	   2347.39	    104232	    300.82	1
240	   2351.95	    104768	    302.47	1
241	   2356.51	    105304	    304.04	1
242	   2361.07	    105840	    305.41	1
243	   2365.63	    106376	    307.11	1
244	   2370.19	    106912	    308.72	1
245	   2374.75	    107180	    310.00	1
246	   2379.31	    107716	    311.75	1
247	   2383.87	    108252	    313.16	1
248	   2388.43	    108788	    314.51	1
249	   2392.99	    109056	    316.20	1
250	   2397.55	    109592	    317.68	1
251	   2402.11	    110128	    319.09	1
252	   2406.67	    110396	    320.83	1
253	   2411.23	    110932	    322.35	1
254	   2415.79	    111468	    323.68	1
255	   2420.35	    112004	    324.85	1
256	   2424.91	    112540	    325.74	1
257	   2429.47	    113076	    327.15	1
258	   2434.03	    113612	    328.50	1
259	   2438.59	    114148	    330.19	1
260	   2443.15	    114684	    331.67	1
261	   2447.71	    115220	    332.96	1
262	   2452.27	    115756	    334.71	1
263	   2456.83	    116292	    336.12	1
264	   2461.39	    116828	    337.48	1
265	   2465.95	    117364	    339.17	1
266	   2470.51	    117900	    340.65	1
267	   2475.07	    118436	    342.07	1
268	   2479.63	    118972	    343.81	1
269	   2484.19	    119508	    345.33	1
270	   2488.75	    119776	    346.54	1
271	   2493.31	    120312	    348.23	1
272	   2497.87	    120848	    349.70	1
273	   2502.43	    121384	    350.99	1
274	   2506.99	    121920	    352.61	1
275	   2511.55	    122456	    354.16	1
276	   2516.11	    122992	    355.51	1
277	   2520.67	    123528	    356.70	1
278	   2525.23	    124064	    358.36	1
279	   2529.79	    124600	    359.69	1
280	   2534.35	    125136	    360.98	1
281	   2538.91	    125672	    362.61	1
282	   2543.47	    126208	    364.03	1
283	   2548.03	    126744	    365.28	1
284	   2552.59	    127280	    366.87	1
285	   2557.15	    127816	    368.38	1
286	   2561.71	    128352	    369.59	1
287	   2566.27	    128888	    371.26	1
288	   2570.83	    129424	    372.73	1
289	   2575.39	    129960	    374.01	1
290	   2579.95	    130228	    375.64	1
291	   2584.51	    130496	    377.18	1
292	   2589.07	    131032	    378.53	1
293	   2593.63	    131568	    380.22	1
294	   2600.56	    132104	    380.22	0
295	   3770.24	     66052	    380.22	0
296	   4144.03	     33026	    290.17	1
297	   4148.59	     33562	    282.40	1
298	   4153.15	     34098	    275.60	1
299	   4157.71	     34634	    269.90	1
300	   4162.27	     35170	    264.91	1
301	   4166.83	     35706	    260.80	1
302	   4171.39	     36242	    257.32	1
303	   4175.95	     36778	    254.41	1
304	   4180.51	     37046	    251.98	1
305	   4185.07	     37046	    249.86	1
306	   4189.63	     37582	    247.63	1
307	   4194.19	     37850	    245.80	1
308	   4198.75	     38118	    244.07	1
309	   4203.31	     38654	    242.69	1
310	   4207.87	     38922	    241.35	1
311	   4212.43	     39458	    240.31	1
312	   4216.99	     39458	    239.27	1
313	   4221.55	     39458	    238.49	1
314	   4226.11	     39994	    237.80	1
315	   4230.67	     40262	    237.07	1
316	   4235.23	     40798	    236.57	1
317	   4239.79	     41066	    236.00	1
318	   4244.35	     41066	    235.62	1
319	   4248.91	     41334	    235.17	1
320	   4253.47	     41870	    234.90	1
321	   4258.03	     42406	    234.66	1
322	   4262.59	     42942	    234.33	1
323	   4267.15	     43210	    234.16	1
324	   4271.71	     43746	    233.89	1
325	   4276.27	     44282	    233.78	1
326	   4280.83	     44550	    233.56	1
327	   4285.39	     44818	    233.49	1
328	   4289.95	     45354	    233.30	1
329	   4294.51	     45890	    233.26	1
330	   4299.07	     46426	    223.48	1
331	   4303.63	     46962	    214.92	1
332	   4308.19	     47230	    208.06	1
333	   4312.75	     47766	    201.92	1
334	   4317.31	     48034	    196.68	1
335	   4321.87	     48570	    191.97	1
336	   4326.43	     49106	    187.98	1
337	   4330.99	     49642	    184.98	1
338	   4335.55	     50178	    182.36	1
339	   4340.11	     50714	    180.19	1
340	   4344.67	     51250	    178.16	1
341	   4349.23	     51250	    176.39	1
342	   4353.79	     51786	    174.84	1
343	   4358.35	     52322	    174.11	1
344	   4362.91	     52590	    173.35	1
345	   4367.47	     52858	    172.81	1
346	   4372.03	     53394	    172.33	1
347	   4376.59	     53662	    172.41	1
348	   4381.15	     54198	    172.61	1
349	   4385.71	     54734	    172.66	1
350	   4390.27	     55270	    172.83	1
351	   4394.83	     55806	    172.85	1
352	   4399.39	     56074	    173.49	1
353	   4403.95	     56610	    173.93	1
354	   4408.51	     57146	    174.44	1
355	   4413.07	     57682	    175.51	1
356	   4417.63	     58218	    176.32	1
357	   4422.19	     58754	    177.16	1
358	   4426.75	     59290	    177.76	1
359	   4431.31	     59558	    178.42	1
360	   4435.87	     60094	    179.49	1
361	   4440.43	     60630	    180.43	1
362	   4444.99	     60898	    181.12	1
363	   4449.55	     61434	    182.36	1
364	   4454.11	     61970	    183.56	1
365	   4458.67	     62506	    184.49	1
366	   4463.23	     63042	    185.43	1
367	   4467.79	     63578	    186.75	1
368	   4472.35	     64114	    187.91	1
369	   4476.91	     64650	    188.92	1
370	   4481.47	     65186	    189.81	1
371	   4486.03	     65454	    191.20	1
372	   4490.59	     65990	    192.43	1
373	   4495.15	     66526	    193.50	1
374	   4499.71	     67062	    194.94	1
375	   4504.27	     67062	    196.19	1
376	   4508.83	     67598	    197.80	1
377	   4513.39	     68134	    199.32	1
378	   4517.95	     68670	    200.53	1
379	   4522.51	     69206	    201.71	1
380	   4527.07	     69474	    203.38	1
381	   4531.63	     70010	    204.70	1
382	   4536.19	     70546	    205.99	1
383	   4540.75	     71082	    207.62	1
384	   4545.31	     71618	    209.04	1
385	   4549.87	     72154	    210.28	1
386	   4554.43	     72690	    212.00	1
387	   4558.99	     73226	    213.37	1
388	   4563.55	     73762	    214.58	1
389	   4568.11	     74030	    216.25	1
390	   4572.67	     74566	    217.72	1
391	   4577.23	     75102	    219.01	1
392	   4581.79	     75638	    220.13	1
393	   4586.35	     75906	    221.74	1
394	   4590.91	     76442	    223.02	1
395	   4595.47	     76710	    224.27	1
396	   4600.03	     77246	    225.36	1
397	   4604.59	     77782	    226.82	1
398	   4609.15	     78318	    228.09	1
399	   4613.71	     78586	    229.20	1
400	   4618.27	     78854	    230.80	1
401	   4622.83	     79390	    232.08	1
402	   4627.39	     79926	    233.32	1
403	   4631.95	     80462	    234.90	1
404	   4636.51	     80998	    236.29	1
405	   4641.07	     81534	    237.63	1
406	   4645.63	     82070	    238.68	1
407	   4650.19	     82606	    240.22	1
408	   4654.75	     83142	    241.56	1
409	   4659.31	     83678	    242.74	1
410	   4663.87	     84214	    244.28	1
411	   4668.43	     84750	    245.62	1
412	   4672.99	     85018	    246.79	1
413	   4677.55	     85286	    248.44	1
414	   4682.11	     85822	    249.88	1
415	   4686.67	     86358	    251.15	1
416	   4691.23	     86894	    252.88	1
417	   4695.79	     87430	    254.27	1
418	   4700.35	     87966	    255.61	1
419	   4704.91	     88502	    257.29	1
420	   4709.47	     88770	    258.75	1
421	   4714.03	     89306	    260.16	1
422	   4718.59	     89842	    261.89	1
423	   4723.15	     90378	    263.40	1
424	   4727.71	     90914	    264.60	1
425	   4732.27	     91450	    266.27	1
426	   4736.83	     91986	    267.74	1
427	   4741.39	     92522	    269.02	1
428	   4745.95	     93058	    270.64	1
429	   4750.51	     93594	    272.19	1
430	   4755.07	     94130	    273.54	1
431	   4759.63	     94666	    275.22	1
432	   4764.19	     95202	    276.82	1
433	   4768.75	     95738	    278.09	1
434	   4773.31	     96274	    279.21	1
435	   4777.87	     96810	    280.68	1
436	   4782.43	     97346	    282.10	1
437	   4786.99	     97882	    283.21	1
438	   4791.55	     98418	    284.81	1
439	   4796.11	     98954	    286.33	1
440	   4800.67	     99490	    287.54	1
441	   4805.23	    100026	    289.22	1
442	   4809.79	    100562	    290.69	1
443	   4814.35	    100830	    291.98	1
444	   4818.91	    101366	    293.61	1
445	   4823.47	    101902	    295.16	1
446	   4828.03	    102438	    296.51	1
447	   4832.59	    102706	    297.57	1
448	   4837.15	    103242	    299.13	1
449	   4841.71	    103510	    300.49	1
450	   4846.27	    104046	    301.68	1
451	   4850.83	    104582	    303.22	1
452	   4855.39	    105118	    304.69	1
453	   4859.95	    105654	    305.85	1
454	   4864.51	    106190	    307.50	1
455	   4869.07	    106726	    309.06	1
456	   4873.63	    107262	    310.30	1
457	   4878.19	    107798	    312.01	1
458	   4882.75	    108334	    313.51	1
459	   4887.31	    108870	    314.82	1
460	   4891.87	    109406	    316.47	1
461	   4896.43	    109942	    317.91	1
462	   4900.99	    110478	    319.17	1
463	   4905.55	    111014	    320.90	1
464	   4910.11	    111550	    322.41	1
465	   4914.67	    112086	    323.74	1
466	   4919.23	    112622	    325.52	1
467	   4923.79	    113158	    326.95	1
468	   4928.35	    113694	    328.33	1
469	   4932.91	    114230	    329.42	1
470	   4937.47	    114766	    330.99	1
471	   4942.03	    115302	    332.37	1
472	   4946.59	    115570	    333.57	1
473	   4951.15	    116106	    335.25	1
474	   4955.71	    116642	    336.59	1
475	   4960.27	    117178	    337.89	1
476	   4964.83	    117714	    338.91	1
477	   4969.39	    118250	    340.42	1
478	   4973.95	    118786	    341.74	1
479	   4978.51	    119322	    342.90	1
480	   4983.07	    119858	    344.54	1
481	   4987.63	    120394	    345.97	1
482	   4992.19	    120930	    347.22	1
483	   4996.75	    121198	    348.82	1
484	   5001.31	    121734	    350.22	1
485	   5005.87	    122270	    351.94	1
486	   5010.43	    122806	    353.57	1
487	   5014.99	    123342	    354.88	1
488	   5019.55	    123878	    356.64	1
489	   5024.11	    124414	    358.31	1
490	   5028.67	    124950	    359.65	1
491	   5033.23	    125486	    361.44	1
492	   5037.79	    126022	    363.01	1
493	   5042.35	    126558	    364.38	1
494	   5046.91	    127094	    365.59	1
495	   5051.47	    127630	    367.26	1
496	   5056.03	    128166	    368.73	1
497	   5060.59	    128702	    369.89	1
498	   5065.15	    129238	    371.53	1
499	   5069.71	    129774	    372.96	1
500	   5074.27	    130310	    374.22	1
501	   5078.83	    130846	    375.81	1
502	   5083.39	    131382	    377.34	1
503	   5087.95	    131918	    378.55	1
504	   5092.51	    132454	    380.23	1
505	   5099.44	    132990	    380.23	0
506	   6031.96	     66495	    380.23	0
