idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1588	     81.66	1
2	    419.33	      2124	     92.58	1
3	    423.89	      2660	     92.01	1
4	    505.12	      3196	     91.26	1
5	    509.68	      3732	     91.10	1
6	    514.24	      4268	     91.09	1
7	    590.92	      4268	     90.33	1
8	    595.48	      4804	     90.28	1
9	    600.04	      4804	     90.38	1
10	    604.60	      5072	     90.33	1
11	    676.71	      4804	     89.79	1
12	    681.27	      5072	     89.94	1
13	    685.83	      5608	     89.95	1
14	    690.39	      5608	     89.95	1
15	    760.23	      6144	     98.21	1
16	    764.79	      6412	     96.93	1
17	    769.35	      6948	     95.82	1
18	    773.91	      7216	     94.84	1
19	    778.47	      7752	     93.98	1
20	    843.74	      8288	    101.36	1
21	    848.30	      8824	     99.69	1
22	    852.86	      9360	     98.23	1
23	    857.42	      9896	     97.58	1
24	    861.98	     10432	     96.88	1
25	    866.54	     10968	     96.39	1
26	    871.10	     11236	     96.59	1
27	    875.66	     11772	     96.64	1
28	    929.54	     12308	     95.31	1
29	    934.10	     12844	     94.78	1
30	    938.66	     13380	     94.18	1
31	    943.22	     13916	     93.78	1
32	    947.78	     14452	     93.93	1
33	    952.34	     14988	     94.07	1
34	    956.90	     15524	     94.18	1
35	    961.46	     16060	     94.91	1
36	    966.02	     16596	     95.55	1
37	    970.58	     16596	     95.98	1
38	    975.14	     17132	     96.48	1
39	   1013.05	     17668	    101.67	1
40	   1017.61	     17936	     99.96	1
41	   1022.17	     18472	     98.47	1
42	   1026.73	     19008	     97.66	1
43	   1031.29	     19276	     97.08	1
44	   1035.85	     19544	     96.44	1
45	   1040.41	     19544	     96.51	1
46	   1044.97	     19812	     96.57	1
47	   1049.53	     20080	     97.25	1
48	   1054.09	     20616	     97.84	1
49	   1058.65	     21152	     98.36	1
50	   1063.21	     21688	     99.44	1
51	   1067.77	     21688	    100.26	1
52	   1072.33	     22224	    100.98	1
53	   1076.89	     22760	    101.61	1
54	   1081.45	     23296	    102.78	1
55	   1086.01	     23832	    103.81	1
56	   1098.85	     24368	    101.46	1
57	   1103.40	     24904	     99.53	1
58	   1107.96	     25440	     98.33	1
59	   1112.53	     25976	     97.29	1
60	   1117.09	     26244	     96.51	1
61	   1121.64	     26244	     96.32	1
62	   1126.20	     26780	     96.15	1
63	   1130.77	     27316	     96.01	1
64	   1135.33	     27852	     95.88	1
65	   1139.88	     28388	     95.77	1
66	   1144.44	     28388	     95.68	1
67	   1149.01	     28656	     96.22	1
68	   1153.57	     28656	     96.56	1
69	   1158.12	     29192	     96.99	1
70	   1162.68	     29728	     97.87	1
71	   1167.24	     30264	     98.64	1
72	   1171.81	     30800	     99.31	1
73	   1176.37	     31336	    100.52	1
74	   1180.92	     31872	    101.45	1
75	   1185.48	     32408	    102.40	1
76	   1190.05	     32944	    103.85	1
77	   1194.61	     33480	    104.99	1
78	   1199.16	     33748	    105.99	1
79	   1203.72	     34284	    107.37	1
80	   1208.29	     34820	    107.70	1
81	   1212.85	     35088	    107.86	1
82	   1217.40	     35624	    108.63	1
83	   1221.96	     36160	    109.30	1
84	   1226.53	     36696	    109.89	1
85	   1231.09	     37232	    110.40	1
86	   1235.64	     37768	    110.85	1
87	   1240.20	     38036	    111.87	1
88	   1244.77	     38572	    112.64	1
89	   1249.33	     39108	    113.43	1
90	   1253.88	     39644	    114.63	1
91	   1258.44	     40180	    115.67	1
92	   1263.01	     40716	    117.21	1
93	   1267.57	     41252	    118.56	1
94	   1272.12	     41788	    119.74	1
95	   1276.68	     42324	    120.65	1
96	   1281.24	     42860	    121.57	1
97	   1285.81	     43396	    122.25	1
98	   1290.37	     43664	    123.47	1
99	   1294.92	     44200	    124.53	1
100	   1299.48	     44736	    125.47	1
101	   1304.05	     45272	    126.91	1
102	   1308.61	     45808	    128.17	1
103	   1313.16	     46344	    129.27	1
104	   1317.72	     46880	    130.74	1
105	   1322.29	     47416	    132.15	1
106	   1326.85	     47416	    133.25	1
107	   1331.40	     47952	    134.85	1
108	   1335.96	     48488	    136.12	1
109	   1340.53	     49024	    137.35	1
110	   1345.09	     49560	    139.06	1
111	   1349.64	     50096	    140.43	1
112	   1354.20	     50632	    141.75	1
113	   1358.77	     51168	    143.40	1
114	   1363.33	     51704	    144.85	1
115	   1367.88	     52240	    146.12	1
116	   1372.44	     52776	    147.86	1
117	   1377.01	     53312	    149.37	1
118	   1381.57	     53848	    150.70	1
119	   1386.12	     54384	    152.49	1
120	   1390.68	     54920	    153.93	1
121	   1395.24	     55456	    155.19	1
122	   1399.81	     55992	    156.79	1
123	   1404.37	     56528	    158.31	1
124	   1408.92	     57064	    159.53	1
125	   1413.48	     57332	    160.71	1
126	   1418.05	     57868	    162.37	1
127	   1422.61	     58404	    163.70	1
128	   1427.16	     58940	    164.99	1
129	   1431.72	     59476	    166.61	1
130	   1436.29	     60012	    168.04	1
131	   1440.85	     60548	    169.16	1
132	   1445.40	     61084	    170.76	1
133	   1449.96	     61620	    172.17	1
134	   1454.53	     62156	    173.40	1
135	   1459.09	     62692	    175.10	1
136	   1463.64	     63228	    176.58	1
137	   1468.20	     63764	    178.51	1
138	   1472.77	     64300	    180.07	1
139	   1477.33	     64836	    181.56	1
140	   1481.88	     65104	    182.74	1
141	   1486.44	     65640	    184.40	1
142	   1491.01	     66176	    185.97	1
143	   1495.57	     66712	    187.23	1
144	   1500.12	     67248	    188.95	1
145	   1504.68	     67784	    190.33	1
146	   1509.24	     68320	    191.66	1
147	   1513.81	     68856	    193.33	1
148	   1518.37	     69392	    194.79	1
149	   1522.92	     69928	    196.07	1
150	   1527.48	     70464	    197.81	1
151	   1532.05	     71000	    199.33	1
152	   1536.61	     71536	    200.66	1
153	   1541.16	     71804	    201.83	1
154	   1545.72	     72340	    203.35	1
155	   1550.29	     72876	    204.81	1
156	   1554.85	     73412	    206.58	1
157	   1559.40	     73680	    208.13	1
158	   1563.96	     74216	    209.37	1
159	   1568.53	     74752	    211.07	1
160	   1573.09	     75288	    212.69	1
161	   1577.64	     75824	    213.98	1
162	   1582.20	     76360	    215.73	1
163	   1586.77	     76896	    217.26	1
164	   1591.33	     77432	    218.60	1
165	   1595.88	     77700	    220.28	1
166	   1600.44	     78236	    221.87	1
167	   1605.01	     78772	    223.26	1
168	   1609.57	     79308	    224.98	1
169	   1614.12	     79844	    226.48	1
170	   1618.68	     80380	    227.80	1
171	   1623.24	     80916	    229.57	1
172	   1627.81	     81184	    231.00	1
173	   1632.37	     81720	    232.38	1
