idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    335.81	      1588	     81.66	1
2	    419.33	      2124	     92.58	1
3	    423.89	      2660	     92.01	1
4	    505.12	      3196	     91.26	1
5	    509.68	      3732	     91.10	1
6	    514.24	      4268	     91.09	1
7	    590.92	      4536	     90.33	1
8	    595.48	      5072	     90.28	1
9	    600.04	      5608	     90.38	1
10	    604.60	      6144	     90.33	1
11	    676.71	      6680	     89.79	1
12	    681.27	      7216	     89.94	1
13	    685.83	      7752	     89.95	1
14	    690.39	      8288	     89.95	1
15	    694.95	      8556	     90.46	1
16	    699.51	      9092	     91.03	1
17	    762.51	      9628	     90.40	1
18	    767.07	      9896	     90.47	1
19	    771.63	     10432	     90.41	1
20	    776.19	     10968	     90.99	1
21	    780.75	     11504	     91.49	1
22	    785.31	     11772	     91.93	1
23	    789.87	     12308	     92.31	1
24	    794.43	     12844	     93.27	1
25	    798.99	     13380	     93.99	1
26	    848.30	     13916	     92.99	1
27	    852.86	     14452	     92.62	1
28	    857.42	     14988	     92.29	1
29	    861.98	     15524	     92.00	1
30	    866.54	     16060	     92.38	1
31	    871.10	     16596	     92.70	1
32	    875.66	     17132	     92.99	1
33	    880.22	     17668	     93.24	1
34	    884.78	     18204	     93.96	1
35	    889.34	     18472	     94.72	1
36	    893.90	     19008	     95.25	1
37	    898.46	     19544	     96.35	1
38	    903.02	     20080	     97.43	1
39	    934.10	     20616	     96.00	1
40	    938.66	     21152	     95.25	1
41	    943.22	     21688	     94.72	1
42	    947.78	     22224	     94.75	1
43	    952.34	     22760	     94.78	1
44	    956.90	     23296	     94.81	1
45	    961.46	     23832	     95.46	1
46	    966.02	     24368	     96.03	1
47	    970.58	     24904	     96.40	1
48	    975.14	     25440	     97.35	1
49	    979.70	     25976	     98.18	1
50	    984.26	     26512	     98.91	1
51	    988.82	     27048	    100.04	1
52	    993.38	     27584	    101.16	1
53	    997.94	     28120	    102.02	1
54	   1002.50	     28656	    102.89	1
55	   1007.06	     29192	    104.28	1
56	   1011.62	     29728	    105.37	1
57	   1016.18	     30264	    106.32	1
58	   1020.74	     30800	    107.66	1
59	   1025.30	     31336	    105.58	1
60	   1029.86	     31872	    103.75	1
61	   1034.42	     32408	    102.78	1
62	   1038.98	     32944	    101.81	1
63	   1043.54	     33480	    101.58	1
64	   1048.10	     34016	    101.51	1
65	   1052.66	     34552	    101.32	1
66	   1057.22	     35088	    101.78	1
67	   1061.78	     35624	    102.18	1
68	   1066.34	     36160	    102.54	1
69	   1070.90	     36696	    103.34	1
70	   1075.46	     37232	    104.05	1
71	   1080.02	     37768	    104.80	1
72	   1084.58	     38036	    105.94	1
73	   1089.14	     38572	    106.95	1
74	   1093.70	     38840	    107.83	1
75	   1098.26	     39376	    109.23	1
76	   1102.82	     39912	    110.33	1
77	   1107.38	     40448	    111.41	1
78	   1111.94	     40984	    112.86	1
79	   1116.50	     41520	    114.13	1
80	   1121.06	     42056	    115.36	1
81	   1125.62	     42592	    116.94	1
82	   1130.18	     43128	    118.32	1
83	   1134.74	     43664	    119.41	1
84	   1139.30	     44200	    120.98	1
85	   1143.86	     44736	    122.36	1
86	   1148.42	     45272	    123.56	1
87	   1152.98	     45808	    125.12	1
88	   1157.54	     46344	    126.60	1
89	   1162.10	     46880	    127.90	1
90	   1166.66	     47416	    129.54	1
91	   1171.22	     47952	    131.10	1
92	   1175.78	     48488	    132.34	1
93	   1180.34	     49024	    134.04	1
94	   1184.90	     49560	    135.54	1
95	   1189.46	     50096	    136.84	1
96	   1194.02	     50632	    138.62	1
97	   1198.58	     51168	    140.04	1
98	   1203.14	     51704	    141.41	1
99	   1207.70	     52240	    143.11	1
100	   1212.26	     52776	    144.59	1
101	   1216.82	     53312	    146.39	1
102	   1221.38	     53848	    148.09	1
103	   1225.94	     54384	    149.46	1
104	   1230.50	     54920	    151.28	1
105	   1235.06	     55456	    152.99	1
106	   1239.62	     55992	    154.37	1
107	   1244.18	     56528	    156.20	1
108	   1248.74	     57064	    157.67	1
109	   1253.30	     57600	    159.09	1
110	   1257.86	     58136	    160.20	1
111	   1262.42	     58672	    161.80	1
112	   1266.98	     59208	    163.20	1
113	   1271.54	     59744	    164.43	1
114	   1276.10	     60280	    166.12	1
115	   1280.66	     60816	    167.61	1
116	   1285.22	     61352	    168.91	1
117	   1289.78	     61888	    170.54	1
118	   1294.34	     62424	    172.10	1
119	   1298.90	     62960	    173.34	1
120	   1303.46	     63496	    175.04	1
121	   1308.02	     64032	    176.54	1
122	   1312.58	     64568	    177.85	1
123	   1317.14	     65104	    179.62	1
124	   1321.70	     65640	    181.04	1
125	   1326.26	     66176	    182.41	1
126	   1330.82	     66712	    184.11	1
127	   1335.38	     67248	    185.59	1
128	   1339.94	     67784	    186.90	1
129	   1344.50	     68320	    188.66	1
130	   1349.06	     68856	    190.20	1
131	   1353.62	     69392	    191.55	1
132	   1358.18	     69928	    193.36	1
133	   1362.74	     70464	    194.81	1
134	   1367.30	     71000	    196.09	1
135	   1371.86	     71536	    197.70	1
136	   1376.42	     72072	    199.24	1
137	   1380.98	     72608	    200.46	1
138	   1385.54	     73144	    202.15	1
139	   1390.10	     73680	    203.76	1
140	   1394.66	     74216	    205.66	1
141	   1399.22	     74752	    207.33	1
142	   1403.78	     75288	    208.79	1
143	   1408.34	     75824	    210.69	1
144	   1412.90	     76360	    212.23	1
145	   1417.46	     76896	    213.57	1
146	   1422.02	     77432	    215.38	1
147	   1426.58	     77968	    216.96	1
148	   1431.14	     78504	    218.34	1
149	   1435.70	     79040	    220.04	1
150	   1440.26	     79576	    221.66	1
151	   1444.82	     80112	    222.96	1
152	   1449.38	     80648	    224.71	1
153	   1453.94	     81184	    226.25	1
154	   1458.50	     81720	    227.59	1
155	   1463.06	     82256	    229.39	1
156	   1467.62	     82792	    230.97	1
157	   1472.18	     83328	    232.35	1
158	   1476.74	     83864	    234.05	1
159	   1481.30	     84400	    235.55	1
160	   1485.86	     84936	    236.85	1
161	   1490.42	     85472	    238.62	1
162	   1494.98	     86008	    240.04	1
163	   1499.54	     86544	    241.41	1
164	   1504.10	     87080	    243.24	1
165	   1508.66	     87616	    244.71	1
166	   1513.22	     88152	    246.12	1
167	   1517.78	     88688	    247.85	1
168	   1522.34	     89224	    249.37	1
169	   1526.90	     89760	    250.70	1
170	   1531.46	     90296	    252.49	1
171	   1536.02	     90832	    254.05	1
172	   1540.58	     91368	    255.29	1
173	   1545.14	     91904	    257.01	1
174	   1549.70	     92440	    258.51	1
