idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    250.02	      1052	     81.19	1
1	    533.53	       784	    106.41	1
2	    619.33	      1052	    103.86	1
3	    705.12	      1588	    101.63	1
4	    788.64	      1856	    110.05	1
5	    872.15	      1856	    117.17	1
6	    955.67	      1856	    123.40	1
7	   1039.18	      2392	    128.85	1
8	   1043.74	      2928	    123.74	1
9	   1124.98	      3464	    118.90	1
10	   1129.54	      3464	    115.29	1
11	   1134.10	      2928	    112.25	1
12	   1210.77	      3464	    108.97	1
13	   1217.61	      3464	    106.35	1
14	   1222.17	      3464	    104.06	1
15	   1296.57	      3464	    101.80	1
16	   1303.40	      4000	     99.82	1
17	   1307.96	      4268	     97.97	1
18	   1382.36	      4804	     96.47	1
19	   1386.92	      4804	     95.66	1
20	   1391.48	      5340	     94.71	1
21	   1396.04	      5340	     93.99	1
22	   1465.87	      5608	    101.99	1
23	   1470.43	      5340	    100.24	1
24	   1474.99	      5340	     98.71	1
25	   1479.55	      5876	     97.38	1
26	   1484.11	      6144	     96.20	1
27	   1551.67	      6680	     94.93	1
28	   1556.23	      6680	     93.81	1
29	   1560.79	      7216	     92.83	1
30	   1565.35	      7752	     92.61	1
31	   1569.91	      7484	     92.28	1
32	   1574.47	      8020	     92.00	1
33	   1637.46	      7752	     91.25	1
34	   1642.02	      8020	     90.59	1
35	   1646.58	      7484	     90.52	1
36	   1651.14	      8020	     90.58	1
37	   1655.70	      8288	     91.13	1
38	   1660.26	      8020	     91.11	1
39	   1664.82	      8556	     91.60	1
40	   1720.98	      9092	     98.40	1
41	   1725.54	      8824	     97.10	1
42	   1732.38	      9360	     95.71	1
43	   1736.94	      9360	     95.00	1
44	   1741.50	      9360	     94.37	1
45	   1746.06	      9896	     93.95	1
46	   1750.62	     10432	     93.46	1
47	   1755.18	     10164	     93.15	1
48	   1804.49	     10700	     99.01	1
49	   1809.05	     11236	     97.75	1
50	   1813.61	     10700	     96.54	1
51	   1818.17	     11236	     95.22	1
52	   1822.73	     10700	     94.07	1
53	   1827.29	     10164	     93.06	1
54	   1831.85	     10700	     92.68	1
55	   1836.41	     10164	     92.34	1
56	   1840.97	     10432	     92.05	1
57	   1845.53	     10968	     91.79	1
58	   1890.29	     10432	     91.07	1
59	   1894.85	      9896	     90.94	1
60	   1899.41	      9360	     90.32	1
61	   1903.97	      9628	     90.28	1
62	   1910.81	     10164	     89.99	1
63	   1915.37	     10432	     89.74	1
64	   1919.93	      9896	     89.53	1
65	   1924.49	     10432	     89.33	1
66	   1929.05	     10700	     89.29	1
67	   1933.61	     10700	     89.76	1
68	   1978.36	     11236	     89.54	1
69	   1985.20	     11236	     89.09	1
