idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    447.74	       784	    105.81	1
1	    533.53	      1320	    103.33	1
2	    817.05	       784	    125.92	1
3	   1100.56	       536	    145.55	1
4	   1384.08	       536	    162.86	1
5	   1667.59	       536	    177.88	1
6	   1951.11	       536	    191.14	1
7	   2234.62	       536	    202.62	1
8	   2320.42	      1072	    188.05	1
9	   2406.21	      1072	    175.29	1
10	   2492.01	      1072	    164.13	1
11	   2577.80	      1608	    154.24	1
12	   2661.31	      2144	    156.08	1
13	   2665.87	      2680	    147.57	1
14	   2747.11	      3216	    139.88	1
15	   2751.67	      3752	    133.64	1
16	   2756.23	      3216	    128.31	1
17	   2832.90	      3216	    122.90	1
18	   2837.46	      3752	    118.78	1
19	   2842.02	      4288	    114.69	1
20	   2918.70	      4288	    111.10	1
21	   2923.26	      4288	    108.59	1
22	   2927.82	      4556	    106.27	1
23	   2932.38	      5092	    104.23	1
24	   3004.49	      5628	    101.95	1
25	   3009.05	      6164	     99.96	1
26	   3013.61	      6164	     98.21	1
27	   3018.17	      6432	     97.31	1
28	   3022.73	      5896	     96.40	1
29	   3090.29	      6432	     95.10	1
30	   3094.85	      6432	     94.46	1
31	   3099.41	      6968	     93.90	1
32	   3103.97	      7236	     93.42	1
33	   3108.53	      6968	     92.99	1
34	   3113.09	      6700	     92.74	1
35	   3176.08	      7236	     91.90	1
36	   3180.64	      6968	     91.16	1
37	   3185.20	      7236	     91.14	1
38	   3189.76	      6700	     91.00	1
39	   3194.32	      6432	     91.00	1
40	   3198.88	      6164	     90.25	1
41	   3203.44	      6432	     90.22	1
42	   3264.16	      6164	     89.94	1
43	   3268.72	      5896	     89.70	1
44	   3275.55	      5360	     89.23	1
45	   3282.39	      4824	     89.08	1
46	   3286.95	      4288	     88.94	1
47	   3347.67	      4288	     95.83	1
48	   3352.23	      4824	     94.85	1
49	   3365.91	      4288	     94.24	1
50	   3372.75	      4288	     93.21	1
51	   3433.46	      4824	     92.31	1
52	   3438.02	      5360	     92.15	1
53	   3451.70	      5360	     91.38	1
54	   3458.54	      5360	     90.71	1
55	   3516.98	      5896	     97.37	1
56	   3521.54	      5360	     96.20	1
57	   3526.10	      4824	     95.17	1
58	   3537.50	      4824	     94.03	1
59	   3544.34	      5092	     93.02	1
60	   3600.49	      5628	     99.14	1
61	   3609.61	      5628	     97.75	1
62	   3621.01	      5896	     97.41	1
63	   3627.85	      6432	     96.48	1
64	   3632.41	      6968	     95.42	1
65	   3686.29	      6700	     94.24	1
66	   3695.41	      6700	     93.21	1
67	   3704.53	      6968	     93.44	1
68	   3709.09	      6432	     92.76	1
69	   3713.65	      6164	     91.91	1
70	   3718.21	      5628	     91.80	1
71	   3772.08	      5360	     91.07	1
72	   3781.20	      5896	     90.44	1
73	   3788.04	      5896	     90.76	1
74	   3797.16	      5896	     90.41	1
75	   3804.00	      6432	     89.86	1
76	   3857.88	      6700	     89.25	1
77	   3864.72	      6700	     89.60	1
78	   3871.55	      7236	     89.65	1
79	   3880.68	      7236	     89.94	1
80	   3885.24	      7504	     89.70	1
81	   3889.80	      7236	     89.11	1
82	   3943.67	      7236	     88.72	1
83	   3950.51	      7504	     88.38	1
84	   3955.07	      7504	     88.71	1
85	   3959.63	      7236	     88.62	1
86	   3966.47	      7772	     88.29	1
87	   3971.03	      8308	     88.01	1
88	   3975.59	      8040	     87.75	1
89	   4029.46	      7504	     87.54	1
90	   4036.30	      7236	     87.34	1
91	   4040.86	      6700	     87.05	1
