idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    447.74	       536	    105.81	1
1	    731.25	       536	    128.09	1
2	    817.05	      1072	    122.83	1
3	   1100.56	       536	    142.85	1
4	   1384.08	       536	    160.49	1
5	   1667.59	       536	    175.80	1
6	   1951.11	       804	    189.33	1
7	   2036.90	      1340	    176.29	1
8	   2320.42	       804	    189.75	1
9	   2406.21	      1340	    176.78	1
10	   2492.01	      1340	    165.44	1
11	   2577.80	      1876	    155.38	1
12	   2661.31	      1876	    157.08	1
13	   2744.83	      1876	    158.32	1
14	   2828.34	      2412	    159.41	1
15	   2832.90	      2412	    150.48	1
16	   2914.14	      2412	    142.42	1
17	   2918.70	      1876	    135.37	1
18	   3002.21	      1876	    129.45	1
19	   3085.73	      1876	    134.14	1
20	   3169.24	      1876	    138.25	1
21	   3252.76	      1876	    141.84	1
22	   3336.27	      2144	    144.99	1
23	   3340.83	      2680	    137.86	1
24	   3422.06	      2680	    131.38	1
25	   3426.62	      3216	    126.21	1
26	   3505.58	      2948	    131.06	1
27	   3510.14	      2680	    125.67	1
28	   3589.09	      2948	    130.34	1
29	   3593.65	      2412	    125.05	1
30	   3672.61	      2412	    129.67	1
31	   3679.45	      2412	    124.21	1
32	   3758.40	      2412	    119.43	1
33	   3765.24	      2948	    115.25	1
34	   3844.20	      2948	    111.60	1
35	   3848.76	      2948	    108.90	1
36	   3927.71	      3216	    115.53	1
37	   3932.27	      3752	    112.09	1
38	   3936.83	      4288	    109.08	1
39	   4013.50	      4288	    106.20	1
40	   4018.06	      4556	    104.30	1
41	   4022.62	      4824	    102.51	1
42	   4027.18	      5092	    101.07	1
43	   4099.30	      4824	     99.19	1
44	   4103.86	      4288	     97.41	1
45	   4108.42	      4288	     96.49	1
46	   4112.98	      3752	     95.68	1
47	   4182.81	      3216	    103.09	1
48	   4189.65	      2680	    100.95	1
49	   4196.49	      2948	     99.33	1
50	   4273.17	      2680	     98.29	1
51	   4280.01	      2680	     97.38	1
52	   4356.68	      2144	    105.21	1
53	   4363.52	      2144	    103.31	1
54	   4442.48	      2412	    101.14	1
55	   4449.32	      2680	     99.25	1
56	   4528.27	      2412	     97.59	1
57	   4532.83	      2680	     96.64	1
58	   4614.06	      2144	     95.31	1
59	   4618.62	      1876	     94.65	1
60	   4702.14	      2412	     93.82	1
61	   4706.70	      2680	     93.09	1
62	   4787.93	      3216	     92.08	1
63	   4792.49	      2948	     91.82	1
64	   4797.05	      2412	     91.72	1
65	   4876.01	      2144	     91.38	1
66	   4882.85	      1876	     90.58	1
67	   4966.36	      1876	     90.51	1
68	   5049.88	      2144	    100.07	1
69	   5054.44	      2680	     98.56	1
70	   5135.67	      2948	     96.99	1
71	   5140.23	      2412	     96.24	1
72	   5219.19	      2412	    104.84	1
73	   5226.03	      2144	    102.48	1
74	   5304.98	      2144	    100.30	1
75	   5311.82	      2680	     98.38	1
76	   5390.77	      3216	     96.84	1
77	   5395.34	      3484	     96.11	1
78	   5399.90	      2948	     95.09	1
79	   5476.57	      3484	     93.96	1
80	   5483.41	      3216	     93.21	1
81	   5487.97	      3216	     92.56	1
82	   5562.36	      3484	     91.74	1
83	   5569.20	      3752	     91.02	1
84	   5573.76	      4288	     90.39	1
85	   5648.16	      3752	     89.84	1
