idx	time(ms)  	cwnd(bytes)	rtt(ms)   	loss(0-loss)
0	    447.74	       536	    105.81	1
1	    731.25	       536	    128.09	1
2	   1014.77	       536	    147.45	1
3	   1298.28	       536	    164.52	1
4	   1581.80	       536	    179.33	1
5	   1667.59	      1072	    167.66	1
6	   1753.39	      1072	    157.46	1
7	   1839.18	      1072	    148.52	1
8	   1924.98	      1340	    140.58	1
9	   2010.77	      1072	    133.76	1
10	   2096.57	      1072	    127.79	1
11	   2182.36	      1340	    122.57	1
12	   2268.15	      1876	    118.00	1
13	   2351.67	      1340	    124.37	1
14	   2437.46	      1340	    119.57	1
15	   2523.26	      1072	    115.38	1
16	   2609.05	      1608	    111.70	1
17	   2692.57	      1608	    118.87	1
18	   2776.08	      1876	    124.88	1
19	   2859.59	      2412	    130.15	1
20	   2864.16	      2412	    124.88	1
21	   2945.39	      2412	    120.02	1
22	   2949.95	      2412	    115.64	1
23	   3031.18	      2680	    111.94	1
24	   3035.74	      2680	    108.69	1
25	   3114.70	      2680	    115.73	1
26	   3119.26	      2948	    112.27	1
27	   3198.21	      3216	    118.61	1
28	   3202.77	      3216	    114.78	1
29	   3207.33	      3752	    111.43	1
30	   3284.01	      3752	    108.25	1
31	   3288.57	      4288	    105.47	1
32	   3293.13	      4288	    103.66	1
33	   3367.52	      4020	    110.71	1
34	   3372.08	      4556	    107.87	1
35	   3376.64	      5092	    105.38	1
36	   3451.03	      5360	    111.96	1
37	   3455.59	      4824	    108.97	1
38	   3460.16	      5360	    106.34	1
39	   3464.72	      5360	    104.55	1
40	   3469.28	      5360	    103.11	1
41	   3539.11	      5092	    101.22	1
42	   3543.67	      5628	     99.57	1
43	   3548.23	      6164	     98.12	1
44	   3552.79	      6700	     96.86	1
45	   3622.62	      6700	    103.87	1
46	   3627.18	      6164	    101.89	1
47	   3631.74	      6700	    100.15	1
48	   3636.30	      6968	     99.26	1
49	   3640.86	      7504	     98.35	1
50	   3645.42	      7236	     97.68	1
51	   3710.70	      7504	     96.47	1
52	   3715.26	      6968	     95.41	1
53	   3719.82	      6432	     94.49	1
54	   3724.38	      6700	     94.30	1
55	   3728.94	      6700	     94.01	1
56	   3733.50	      6432	     93.89	1
57	   3738.06	      6164	     93.78	1
58	   3798.77	      6164	     93.05	1
59	   3805.61	      6164	     92.17	1
60	   3810.17	      5896	     91.40	1
61	   3814.73	      6164	     90.72	1
62	   3821.57	      5628	     90.38	1
63	   3882.29	      5360	     97.09	1
64	   3889.13	      5360	     96.33	1
65	   3893.69	      5360	     95.28	1
66	   3898.25	      4824	     94.37	1
67	   3907.37	      4288	     93.33	1
68	   3968.08	      3752	     92.41	1
69	   3974.92	      4288	     91.48	1
70	   3981.76	      3752	     91.05	1
71	   4051.60	      3484	     97.67	1
72	   4056.16	      3216	     96.46	1
73	   4065.28	      3752	     95.78	1
74	   4137.39	      3752	     94.56	1
75	   4141.95	      4020	     93.36	1
76	   4148.79	      3752	     93.19	1
77	   4220.90	      3216	    100.92	1
78	   4225.47	      2948	     99.30	1
79	   4232.31	      2948	     98.26	1
80	   4308.98	      2948	     96.98	1
81	   4315.82	      2412	     96.11	1
82	   4392.49	      2144	    104.09	1
83	   4401.61	      2680	    101.83	1
84	   4478.29	      2680	     99.85	1
